,紧急程度,问题汇总,问题汇总_jieba,jieba,0
69,重要,设备异响皮带磨损严重更换皮带trinest振荡器更换皮带trinest振荡器更换皮带,设备 异响 皮带 磨损 严重 更换 皮带 trinest 振荡器 更换 皮带 trinest 振荡器 更换 皮带 ,设备 异响 皮带 磨损 严重 更换 皮带 trinest 振荡器 更换 皮带 trinest 振荡器 更换 皮带 拆开 发现 皮带 略松 更换 皮带 检查 松紧度 正常 开机 测试 振荡 正常 客户 下周 继续 使用 观察 情况 ,0.7138223353035092
70,重要,12351420P9设备巡检p9偶尔单孔跳孔1235、P9、1420设备巡检,1235 1420P9 设备 巡检 p9 偶尔 单孔 跳孔 1235 P9 1420 设备 巡检 ,1235 1420P9 设备 巡检 p9 偶尔 单孔 跳孔 1235 P9 1420 设备 巡检 p9 偶尔 单孔 跳孔 调整 平台 水平 校准 打孔 位置 坐标 打孔 头 彻底 清洁 维护 二 1235 巡检 帽子 掉落 问题 更换 加样枪 金属 枪头 加样枪 压力 板 重新 调整 压力 值 反复 测试 报错 跟踪 批 早孕 报错 增强液 检查 问题 清洁 管路 过滤器 发现 过滤器 膜 结晶 导致 注射器 抽吸 增强液 阻力 偏 重新 校准 压力 测试 正常 加样枪 Y 运动 问题 更换 Y 皮带 滚轮 测试 正常 血片 问题 调整 管路 长短 方向 空白 板 进行 位置 校准 真空 过滤器 干燥 处理 重新安装 测试 真空 报错 样本架 进样 问题 皮带 老化 磨损 现象 进行 清洁 润滑 样本架 建议 定期 清洗 防止 样本 挥发 凝结 导致 架子 间 粘合 现象 x - congrayerror 问题 发现 托盘 磨损 导致 吸头 卡住 x 轴 小车 导致 更换 新 托盘 测试 正常 工作站 电脑 缓慢 系统重装 软件 重装 安装 补丁 三 工作站 电脑系统 缓慢 导致 联机 故障 重新安装 系统升级 win7 系统 安装 1420 软件 需要 注意 win7 环境 安装包 不同 winxp3 设置 打印机 测试 设备 运转 正常 调整 平台 水平 校准 打孔 位置 坐标 打孔 头 彻底 清洁 维护 测试 打孔 正常 ,0.5596927947550348
71,重要,12351420P9设备巡检工作站电脑系统缓慢，导致联机故障1235、P9、1420设备巡检,1235 1420P9 设备 巡检 工作站 电脑系统 缓慢 导致 联机 故障 1235 P9 1420 设备 巡检 ,1235 1420P9 设备 巡检 工作站 电脑系统 缓慢 导致 联机 故障 1235 P9 1420 设备 巡检 p9 偶尔 单孔 跳孔 调整 平台 水平 校准 打孔 位置 坐标 打孔 头 彻底 清洁 维护 二 1235 巡检 帽子 掉落 问题 更换 加样枪 金属 枪头 加样枪 压力 板 重新 调整 压力 值 反复 测试 报错 跟踪 批 早孕 报错 增强液 检查 问题 清洁 管路 过滤器 发现 过滤器 膜 结晶 导致 注射器 抽吸 增强液 阻力 偏 重新 校准 压力 测试 正常 加样枪 Y 运动 问题 更换 Y 皮带 滚轮 测试 正常 血片 问题 调整 管路 长短 方向 空白 板 进行 位置 校准 真空 过滤器 干燥 处理 重新安装 测试 真空 报错 样本架 进样 问题 皮带 老化 磨损 现象 进行 清洁 润滑 样本架 建议 定期 清洗 防止 样本 挥发 凝结 导致 架子 间 粘合 现象 x - congrayerror 问题 发现 托盘 磨损 导致 吸头 卡住 x 轴 小车 导致 更换 新 托盘 测试 正常 工作站 电脑 缓慢 系统重装 软件 重装 安装 补丁 三 工作站 电脑系统 缓慢 导致 联机 故障 重新安装 系统升级 win7 系统 安装 1420 软件 需要 注意 win7 环境 安装包 不同 winxp3 设置 打印机 测试 设备 运转 正常 重新安装 系统升级 win7 系统 安装 1420 软件 需要 注意 win7 环境 安装包 不同 winxp3 设置 打印机 测试 设备 运转 正常 ,0.5605748318041511
72,重要,扫描仪autofocus失败，重复维修,扫描仪 autofocus 失败 重复 维修 ,扫描仪 autofocus 失败 重复 维修 . 扫描仪 扫描 芯片 信号 稳定 信号 衰减 过快 导致 扫描仪 长时间 运行 autofocus 失败 . 确定 室温 过高 导致 问题 . 建议 设备 运行 温度 18 ~ 22 度 ,0.7180845059210115
73,重要,标准品仓结冰，更换整个module1235标准品仓结冰1235标准品仓结冰,标准品仓 结冰 更换 整个 module 1235 标准品仓 结冰 1235 标准品仓 结冰 ,标准品仓 结冰 更换 整个 module 1235 标准品仓 结冰 1235 标准品仓 结冰 更换 整个 标准品仓 安装 完成 加样针 校准 液面 探测 测试 正常 客户 继续 观察 后续 温度控制 是否 正常 ,0.4556111138147025
74,重要,TQD的C6DC指标自1月初出现C6DC大量超出截断值的样本，数据分析发现为C6DC响应值下降不多，但C5DCIS响应下降较多，导致C6DC浓度变高，同时TIC1-3近期响应都下降XevoTQD最近两次实验TIC下坡严重，响应存在一定程度下降,TQD C6DC 指标 月初 出现 C6DC 大量 超出 截断值 样本 数据分析 发现 C6DC 响应值 下降 C5DCIS 响应 下降 导致 C6DC 浓度 变高 TIC1 - 近期 响应 下降 XevoTQD 最近 两次 实验 TIC 下坡 严重 响应 存在 一定 程度 下降 ,TQD C6DC 指标 月初 出现 C6DC 大量 超出 截断值 样本 数据分析 发现 C6DC 响应值 下降 C5DCIS 响应 下降 导致 C6DC 浓度 变高 TIC1 - 近期 响应 下降 XevoTQD 最近 两次 实验 TIC 下坡 严重 响应 存在 一定 程度 下降 TQD1 . 进 PEG 检查 发现 质量数 分辨率 偏离 严重 调回 再次 测试 C6DC 指标 浓度 恢复正常 . 上次 维护 时间 已有 一年 时间 进行 离子源 六级 杆 清洗 维护 . 再次 校正 质量数 分辨率 进行 内标 采集 参数 调试 复溶板 响应 指标 表现 均 恢复正常 XevoTQD1 . 毛细管 尖端 歪斜 重装 毛细管 . 进 PEG 检查 发现 质量数 分辨率 偏离 严重 调回 . 调整 IonEnergy1 - 1.6 图形 响应 均 恢复 . 周三 现场 检查 发现 毛细管 探头 歪掉 王棋 反馈 包装 问题 拆 毛细管 顺直 尖端 调换 方向 重装 图形 恢复正常 . 次日 发现 后面 几块 板 图形 变成 之前 下坡 状 响应 降低 6e6 调整 离子 能量 - 2.0 - 1.8 图形 响应 均 恢复 （ 9e6 ） . 上机 完 锥 孔同 TQD 一起 打磨 超声 装回进 PEG 发现 MS1 MS2 质量数 分辨率 偏离 严重 半峰 宽 质量数 左 Engineer 调整 进行 Intellistart 分辨率 质量数 恢复正常 之后 进 内标 进行 采集 参数 调整 . 上机 测试 复溶板 响应 - 9e6 指标 重现 性 . 上机 测试 块 新板 响应 - 9e6 图形 不再 走下坡 ,0.6282123361482563
75,重要,TQD的C6DC指标自1月初出现C6DC大量超出截断值的样本，数据分析发现为C6DC响应值下降不多，但C5DCIS响应下降较多，导致C6DC浓度变高，同时TIC1-3近期响应都下降XevoTQD最近两次实验TIC下坡严重，响应存在一定程度下降,TQD C6DC 指标 月初 出现 C6DC 大量 超出 截断值 样本 数据分析 发现 C6DC 响应值 下降 C5DCIS 响应 下降 导致 C6DC 浓度 变高 TIC1 - 近期 响应 下降 XevoTQD 最近 两次 实验 TIC 下坡 严重 响应 存在 一定 程度 下降 ,TQD C6DC 指标 月初 出现 C6DC 大量 超出 截断值 样本 数据分析 发现 C6DC 响应值 下降 C5DCIS 响应 下降 导致 C6DC 浓度 变高 TIC1 - 近期 响应 下降 XevoTQD 最近 两次 实验 TIC 下坡 严重 响应 存在 一定 程度 下降 TQD1 . 进 PEG 检查 发现 质量数 分辨率 偏离 严重 调回 再次 测试 C6DC 指标 浓度 恢复正常 . 上次 维护 时间 已有 一年 时间 进行 离子源 六级 杆 清洗 维护 . 再次 校正 质量数 分辨率 进行 内标 采集 参数 调试 复溶板 响应 指标 表现 均 恢复正常 XevoTQD1 . 毛细管 尖端 歪斜 重装 毛细管 . 进 PEG 检查 发现 质量数 分辨率 偏离 严重 调回 . 调整 IonEnergy1 - 1.6 图形 响应 均 恢复 . 进 PEG 质谱 峰 跳动 厉害 重装 毛细管 发现 石墨 垫圈 挤压 严重 碎裂 重新 更换 正常 . 检查 发现 MS1 MS2 中端 高端 分辨率 很小 半峰 宽 很大 质量数 左 偏离 严重 Engineer 界面 调整 参数 重新 进行 intellistart 正常 . 刚 Xevo 测试 玩 样本 拿到 TQD 指标 重现 性均 包括 C6DC 大致 0.15 - 0.06 之间 不再 之前 0.1 - 0.3 之间 高值 范围 说明 C6DC 检测值 恢复正常 . 考虑 2017 年 年初 进行 一次 维护保养 外 之后 未 进行 清洗 维护 决定 周四 清洗 离子源 . 周四 泄 真空 甲酸 擦拭 离子源 砂纸 （ 淘宝 购买 ） 打磨 二级 锥孔 之前 溶剂 体系 超声 离子源 六级 杆 吹干 装回 擦拭 离子源 外罩 . 周五 进 PEG 检查 MS1 MS2 良好 不再 需要 再次 Intellistart 进 内标 调整 采集 参数 正离子 模式 测试 复溶板 响应 8e6 负离子 ,0.5928765783844239
76,重要,1、P9A仪器打孔头挂架有零件断裂，需要更换2、P9D仪器阻尼flag断裂，需要更换；偶尔识别血斑时闪烁P9A仪器打孔头挂架有零件断裂，需要更换,P9A 仪器 打孔 头 挂架 零件 断裂 需要 更换 P9D 仪器 阻尼 flag 断裂 需要 更换 偶尔 识别 血斑 时 闪烁 P9A 仪器 打孔 头 挂架 零件 断裂 需要 更换 ,P9A 仪器 打孔 头 挂架 零件 断裂 需要 更换 P9D 仪器 阻尼 flag 断裂 需要 更换 偶尔 识别 血斑 时 闪烁 P9A 仪器 打孔 头 挂架 零件 断裂 需要 更换 更换 打孔 头 挂架 打孔 测试 正常 二 更换 阻尼 flag 零件 摄像头 曝光 时间 调到 103 打孔 测试 正常 更换 打孔 头 挂架 打孔 测试 正常 ,0.5073751500787721
77,重要,一、HV枪取吸头故障二、1297标准品仓和1235制冷单元peltier更换,HV 枪取 吸头 故障 二 1297 标准品仓 1235 制冷 单元 peltier 更换 ,HV 枪取 吸头 故障 二 1297 标准品仓 1235 制冷 单元 peltier 更换 更换 HV 枪 位置 校准 气密性 测试 正常 shuffle 测试通过 lv 注射器 泵 异响 清洁 润滑 电机 螺纹 导轨 正常 跟踪 两批 24 板 新筛实验 正常 质控 cv 客户 表示 认可 二 更换 1297peltier 贴 制冷 正常 1235 制冷 peltier 电流 差值 过低 检查 发现 第二个 制冷 模块 peltier 损坏 更换 电流 正常 更换 1297peltier 贴 制冷 正常 1235 制冷 peltier 电流 差值 过低 检查 发现 第二个 制冷 模块 peltier 损坏 更换 电流 正常 ,0.6544205598088474
78,重要,1、P9A仪器打孔头挂架有零件断裂，需要更换2、P9D仪器阻尼flag断裂，需要更换；偶尔识别血斑时闪烁P9D仪器阻尼flag断裂，需要更换；偶尔识别血斑时闪烁,P9A 仪器 打孔 头 挂架 零件 断裂 需要 更换 P9D 仪器 阻尼 flag 断裂 需要 更换 偶尔 识别 血斑 时 闪烁 P9D 仪器 阻尼 flag 断裂 需要 更换 偶尔 识别 血斑 时 闪烁 ,P9A 仪器 打孔 头 挂架 零件 断裂 需要 更换 P9D 仪器 阻尼 flag 断裂 需要 更换 偶尔 识别 血斑 时 闪烁 P9D 仪器 阻尼 flag 断裂 需要 更换 偶尔 识别 血斑 时 闪烁 更换 打孔 头 挂架 打孔 测试 正常 二 更换 阻尼 flag 零件 摄像头 曝光 时间 调到 103 打孔 测试 正常 ,0.5437762707455475
79,重要,HV枪取吸头故障一、HV枪取吸头故障二、1297标准品仓和1235制冷单元peltier更换,HV 枪取 吸头 故障 HV 枪取 吸头 故障 二 1297 标准品仓 1235 制冷 单元 peltier 更换 ,HV 枪取 吸头 故障 HV 枪取 吸头 故障 二 1297 标准品仓 1235 制冷 单元 peltier 更换 更换 HV 枪 位置 校准 气密性 测试 正常 shuffle 测试通过 lv 注射器 泵 异响 清洁 润滑 电机 螺纹 导轨 正常 跟踪 两批 24 板 新筛实验 正常 质控 cv 客户 表示 认可 二 更换 1297peltier 贴 制冷 正常 1235 制冷 peltier 电流 差值 过低 检查 发现 第二个 制冷 模块 peltier 损坏 更换 电流 正常 更换 HV 枪 位置 校准 气密性 测试 正常 shuffle 测试通过 lv 注射器 泵 异响 清洁 润滑 电机 螺纹 导轨 正常 跟踪 两批 24 板 新筛实验 正常 质控 cv 客户 表示 认可 ,0.6533618265022522
80,重要,近两周又连续发生两次去吸头过程中的up-downmoversteppingerror,近 两周 连续 发生 两次 吸头 过程中 up - downmoversteppingerror ,近 两周 连续 发生 两次 吸头 过程中 up - downmoversteppingerror 两次 故障 发生 右枪 检查 托盘 右枪 洗头 处 观察 橡胶圈 戳破 痕迹 判断 吸头 戳 橡胶圈 导致 报错 橡胶圈 应 重新 固定 绊 吸头 但应 之前 固定 较为 牢固 去除 橡胶圈 上会 绊 吸头 部分 测试 仪器 吸头 过程 工作 正常 跟踪 一次 实验 仪器 工作 正常 ,0.6834244851190667
81,重要,120重复取架或无法正常退架,120 重复 取架 无法 正常 退架 ,120 重复 取架 无法 正常 退架 济南 妇幼 120 重复 取架 无法 正常 退架 . 查看 报错 确定 时间 点 检查 确定 拍摄 出 数据 未 产生 混乱 . 安装 debug 软件 观察 拍摄 过程 报错 （ 未 出现 无法 取片 问题 报错 ） . 对调 subx & casette xy 方向 驱动 板 检查 是否 错误 转移 情况 . 上机 sltester 测试 扫描 读取 架子 异常 . 传感器 清理 . 清理 部位 插头 污渍 插紧 网口 . 发现 联机 过程中 会 提示 门 没 关上 误报 架子 已经 载物台 调整 触控点 螺丝 长度 问题 消失 . windowslog 采集 （ cyto0 server ） 反馈 徕 卡 . 上片 测试 正常 继续 使用 观察 注 . 建议 机器 使用 时 打开 桌面 debug 程序 记录 机器 状态 保存 日志 . 每次 卸载 载玻片 时 注意 油量 是否 架子 偏多 情况 请 标注 ,0.7588334444902611
82,重要,芯片培训实验多次扫描后无法完成对焦扫描实验芯片后无法生成CEL，第四张芯片时报自动对焦失败。,芯片 培训 实验 多次 扫描 无法 完成 对焦 扫描 实验 芯片 无法 生成 CEL 第四张 芯片 时报 自动 对焦 失败 ,芯片 培训 实验 多次 扫描 无法 完成 对焦 扫描 实验 芯片 无法 生成 CEL 第四张 芯片 时报 自动 对焦 失败 现场 之后 发现 自动 对焦 失败 重新 校准 ZMOTOR 距离 成功 对焦 做 校准 ARCANDlinearity 重新 扫描 之前 无法 生成 CEL 文件 芯片 芯片 正常 完成 扫描 重新 做 增益 校准 报 PDPsensorerror 仪器 无法 读取 信号 怀疑 实验室 突然 开热 空调 导致 实验室 温度 上升 更换 PDPbaseboard 增益 扫描 实验 芯片 均 正常 问题解决 ,0.6779278809121293
83,重要,浙江省妇保BOBS调光路红绿激光CV值均过大，需要调整。红绿激光CV值均过大，需要调整。,浙江省 妇保 BOBS 调光 路 红绿 激光 CV 值均 需要 调整 红绿 激光 CV 值均 需要 调整 ,浙江省 妇保 BOBS 调光 路 红绿 激光 CV 值均 需要 调整 红绿 激光 CV 值均 需要 调整 校准 红绿 激光 校准 性能验证 均 正常 实验 ,0.5609968388169816
84,重要,接之前维修进度，更换载物台排查重复取架或取架错误故障,接 之前 维修 进度 更换 载物台 排查 重复 取架 取架 错误 故障 ,接 之前 维修 进度 更换 载物台 排查 重复 取架 取架 错误 故障 济南 妇幼 更换 控制 盒 . 接 之前 维修 进度 更换 驱动 模块 控制 盒 . sltester 更新 新 控制 盒 信息 . 位置 检查 异常 . 上机 扫描 正常 完成 维修 注 新 载物台 控制 盒 （ 换下 ） 均 留存 科室 使用 观察 ,0.681176076351676
85,重要,实验员反馈，近期B仪器阳性率增高，且C0质控表现很不稳定；之后远程数据分析显示：近期若干长链肉碱均值呈现升高趋势，尤其C6DC，因此推断B仪器质量数和分辨率可能存在偏离，同时装机以来未进行过大的清洗维护保养，准备一并做掉,实验员 反馈 近期 B 仪器 阳性率 增高 C0 质控 表现 稳定 之后 远程 数据分析 显示 近期 若干 长链 肉碱 均值 呈现 升高 趋势 尤其 C6DC 推断 B 仪器 质量数 分辨率 可能 存在 偏离 装机 未 进行 过大 清洗 维护保养 准备 一并 做 掉 ,实验员 反馈 近期 B 仪器 阳性率 增高 C0 质控 表现 稳定 之后 远程 数据分析 显示 近期 若干 长链 肉碱 均值 呈现 升高 趋势 尤其 C6DC 推断 B 仪器 质量数 分辨率 可能 存在 偏离 装机 未 进行 过大 清洗 维护保养 准备 一并 做 掉 . PEG 检查 发现 MS1 MS2 质量数 分辨率 均 略有 偏离 . 清洗 四级 杆 碰撞 池 离子源 透镜 发现 二级 锥 孔及 透镜 前段 白色 污渍 擦拭 超声 . 过夜 抽 真空 进 PEG 调试 分辨率 质量数 并作 Intellistart4 . 进 内标 调试 采集 参数 测试 复溶板 样本 响应 1.7 e6 左右 测试 A 仪器 质控 样本 计算 若干 指标 RRF 系数 修改 . 上机 新 筛板 样本 响应 2e7 左右 指标 质控 表现 良好 继续 观察 跟进 1.2 . 22 到达 现场 进 PEG 检查 发现 质谱 峰 弱且 锯齿 重装 毛细管 恢复正常 MS1 MS2 质量数 左 偏离 分辨率 MS1 偏差 MS2 半峰 宽 宽 . 泄 真空 关机 清洗 碰撞 池 四级 杆 离子源 透镜 （ 二级 锥孔 内部 较脏 透镜 前段 电极 片有 白色 污渍 状 附着 ） 对内 锥孔 进行 打磨 . 装回 更换 泵油 过夜 抽 真空 次日 进 PEG 重新 调试 质量数 分辨率 Intellistart . 进 内标 调试 采集 参数 测试 复溶板 样本 响应 1.7 e7 测试 昨日 A 仪器 第二块 板 质控 样本 定量 计算 RRF 修改 大部分 氨基酸 肉碱 系数 . 上机 新 筛板 样本 响应 2e7 左右 指标 质控 表现 良好 ,0.6833570406707995
86,重要,震荡孵育仓皮带断裂,震荡 孵育仓 皮带 断裂 ,震荡 孵育仓 皮带 断裂 震荡 孵育仓 皮带 断裂 . 到达 现场 查看 故障 确定 震荡 孵育仓 皮带 断掉 . gripper 处取 断裂 皮带 . 更换 新 皮带 . 震荡 测试 抓取 板框 测试 异常 完成 维修 ,0.7259424493263454
87,重要,GSP试剂仓超温故障试剂仓超温,GSP 试剂仓 超温 故障 试剂仓 超温 ,GSP 试剂仓 超温 故障 试剂仓 超温 试剂仓 温度 高 没有 达到 制冷 效果 帕尔贴 工作效率 100% 进入 service 模式 启动 试剂仓 降温 风扇 没有 正常 运转 关闭 仪器 模块 拆 测量 两块 帕尔贴 电阻 正常 故障 风扇 异常 引起 更换 整个 制冷 模块 更换 蒸馏水 桶 瓶盖 仪器 半年度维护 时间 即将 到达 维护 流程 进行 维护 仪器 性能 测试 达标 ,0.6056230525159537
88,重要,福建省妇幼1420半自动洗板机老化问题与客户沟通，确定维修方案,福建省 妇幼 1420 半自动 洗板机 老化 问题 客户 沟通 确定 维修 方案 ,福建省 妇幼 1420 半自动 洗板机 老化 问题 客户 沟通 确定 维修 方案 问题 TSH 阳性率 过高 操作 检查 1420 发现 Eu115 万过 重新 校正 104 万 正常 检查 洗板机 洗板 时 注水 吸水 情况 均 正常 实验 老师 怀疑 洗板机 洗板 完全 导致 阳性率 过高 情况 一批 四块 板 拿到 产筛实验 室 1235 血片 洗板 发现 块板 1235 洗板 20 标本 阳性率 高 楼下 25 左右 多出 切值 附近 TSH 阳性率 过高 洗板 无关 福州市 妇幼 冬季 阳性率 偏高 情况 省 妇幼 类似 怀疑 冬季 采血 血卡 保存 关系 洗板机 问题 导致 医院 更换 洗板机 想法 之后 需要 销售 协商 调用 湖南 客户 一台 洗板机 过来 ,0.535837170208484
89,重要,芯片维护+洗涤工作站报错“missingfluid”洗涤过程中报液体missing。洗涤过程中报液体missing。,芯片 维护 + 洗涤 工作站 报错 missingfluid 洗涤 过程中 报 液体 missing 洗涤 过程中 报 液体 missing ,芯片 维护 + 洗涤 工作站 报错 missingfluid 洗涤 过程中 报 液体 missing 洗涤 过程中 报 液体 missing 做 关机 清洗 号 管路 吸 液体 时有 气泡 产生 检查 发现 号针 管路 直接 连接 松动 导致 问题解决 更换 密封 块 6S 整理 线路 ,0.7154030205078977
90,重要,120拍片问题，电脑软件闪退问题配合市场对客户进行拜访。配合市场对客户进行拜访。,120 拍片 问题 电脑软件 闪退 问题 配合 市场 客户 进行 拜访 配合 市场 客户 进行 拜访 ,120 拍片 问题 电脑软件 闪退 问题 配合 市场 客户 进行 拜访 配合 市场 客户 进行 拜访 解决 GSL - 120 问题 解决 客户 使用 问题 设置 宏 ,0.4019801255452782
91,重要,协同区域销售市场进行120设备问题巡检更换rinse管路。GSL-120：1，沟通旧电脑重装系统连接到新仪器上。2，新GSL-120仪器扫描玻片时会停住问题。3，设置宏，解决使用问题。CMA：洗涤工作站4号模块洗涤过程中报找不到液体。新筛洗板机：更换rinse管路。,协同 区域 销售市场 进行 120 设备 问题 巡检 更换 rinse 管路 GSL - 120 沟通 旧电脑 重装系统 连接 新 仪器 新 GSL - 120 仪器 扫描 玻片 时会 停住 问题 设置 宏 解决 使用 问题 CMA 洗涤 工作站 号 模块 洗涤 过程中 报找 不到 液体 新筛 洗板机 更换 rinse 管路 ,协同 区域 销售市场 进行 120 设备 问题 巡检 更换 rinse 管路 GSL - 120 沟通 旧电脑 重装系统 连接 新 仪器 新 GSL - 120 仪器 扫描 玻片 时会 停住 问题 设置 宏 解决 使用 问题 CMA 洗涤 工作站 号 模块 洗涤 过程中 报找 不到 液体 新筛 洗板机 更换 rinse 管路 GSL - 120 试 重装 一台 连接 新 设备 考虑 只能 连接 台到 新 设备 无法 连接 客户 商量 先 维持 原样 电脑 重新 装回 新 设备 尽快 医院 解决方案 通知 销售 校准 设置 参数 后续 扫描 未 出现 对焦 问题 一次 仪器 扫描 中 停住 发现 软件 卡死 问题 最新 外周血 羊水 均 新 设备 扫描 仪器 电脑 几乎 全天 运行 建议 客户 一周 重新启动 电脑 仪器 安抚 客户 解释 问题 原因 客户 需求 设置 宏 解决 使用 问题 CMA 没有 看到 报警 信息 客户 描述 以往 维修 经验 检查 四号 模块 清洁 管路 针等 配件 做 测试 观察 实验 均 问题 问题 经常出现 需 后续 观察 新筛 洗板机 管路 匹配 裁剪 安装 做 测试 洗涤 工作 正常 更换 完成 管路 匹配 裁剪 安装 做 测试 洗涤 工作 正常 更换 完成 ,0.7262468446078035
92,重要,gsp帽子在实验中卡住上周HV枪实验中无法去除帽子，需要手动摘除；上周HV枪实验中无法去除帽子，需要手动摘除；,gsp 帽子 实验 中 卡住 上周 HV 枪 实验 中 无法 去除 帽子 需要 手动 摘除 上周 HV 枪 实验 中 无法 去除 帽子 需要 手动 摘除 ,gsp 帽子 实验 中 卡住 上周 HV 枪 实验 中 无法 去除 帽子 需要 手动 摘除 上周 HV 枪 实验 中 无法 去除 帽子 需要 手动 摘除 . 查看 log 发现 报错 实验 中 无法 掉帽子 之前 取帽子 压力 值 存在 问题 . 近 两次 实验 均 正常 老师 不敢 过夜 做 实验 . 运行 HV 枪 气密性 测试 发现 HV 枪 dorp 值 达到 3.0 正常 应 小于 重复 次测试 均 一致 . 拆下 HV 枪 压力 传感器 金属 头 清洁 密封 垫圈 重新安装 再次 测试 测试 依旧 偏高 表明 HV 枪 存在 漏气 情况 . 更换 一个 新 HV 枪 进行 校准 . 校准 完成 进行 气密性 测试 取 枪头 帽子 测试 测试 均 正常 . 跟进 一次 实验 实验 正常 ,0.6726218326344201
93,重要,协同区域销售市场进行120设备问题巡检4号模块洗涤过程中报找不到液体。GSL-120：1，沟通旧电脑重装系统连接到新仪器上。2，新GSL-120仪器扫描玻片时会停住问题。3，设置宏，解决使用问题。CMA：洗涤工作站4号模块洗涤过程中报找不到液体。新筛洗板机：更换rinse管路。,协同 区域 销售市场 进行 120 设备 问题 巡检 号 模块 洗涤 过程中 报找 不到 液体 GSL - 120 沟通 旧电脑 重装系统 连接 新 仪器 新 GSL - 120 仪器 扫描 玻片 时会 停住 问题 设置 宏 解决 使用 问题 CMA 洗涤 工作站 号 模块 洗涤 过程中 报找 不到 液体 新筛 洗板机 更换 rinse 管路 ,协同 区域 销售市场 进行 120 设备 问题 巡检 号 模块 洗涤 过程中 报找 不到 液体 GSL - 120 沟通 旧电脑 重装系统 连接 新 仪器 新 GSL - 120 仪器 扫描 玻片 时会 停住 问题 设置 宏 解决 使用 问题 CMA 洗涤 工作站 号 模块 洗涤 过程中 报找 不到 液体 新筛 洗板机 更换 rinse 管路 GSL - 120 试 重装 一台 连接 新 设备 考虑 只能 连接 台到 新 设备 无法 连接 客户 商量 先 维持 原样 电脑 重新 装回 新 设备 尽快 医院 解决方案 通知 销售 校准 设置 参数 后续 扫描 未 出现 对焦 问题 一次 仪器 扫描 中 停住 发现 软件 卡死 问题 最新 外周血 羊水 均 新 设备 扫描 仪器 电脑 几乎 全天 运行 建议 客户 一周 重新启动 电脑 仪器 安抚 客户 解释 问题 原因 客户 需求 设置 宏 解决 使用 问题 CMA 没有 看到 报警 信息 客户 描述 以往 维修 经验 检查 四号 模块 清洁 管路 针等 配件 做 测试 观察 实验 均 问题 问题 经常出现 需 后续 观察 新筛 洗板机 管路 匹配 裁剪 安装 做 测试 洗涤 工作 正常 更换 完成 没有 看到 报警 信息 客户 描述 以往 维修 经验 检查 四号 模块 清洁 管路 针等 配件 做 测试 观察 实验 均 问题 问题 经常出现 需 后续 观察 ,0.712674728197753
94,重要,地贫CCD定标问题解决地贫开机停止在CCD定标未通过,地贫 CCD 定标 问题解决 地贫 开机 停止 CCD 定标 未 ,地贫 CCD 定标 问题解决 地贫 开机 停止 CCD 定标 未 更换 新 CCD 板 固件 更新 开机 正常 观察 最近 实验 ,0.4854994583610216
95,重要,氮气发生器异响，基本确定为空压机内部膜片磨损严重，需进行更换维护质谱进行Intellistart调谐时，中途会失去通讯，怀疑和软件有关质谱进行Intellistart调谐时，中途会失去通讯，怀疑和软件有关,氮气 发生器 异响 基本 确定 空压机 内部 膜片 磨损 严重 需 进行 更换 维护 质谱 进行 Intellistart 调谐 时 中途 会 失去 通讯 怀疑 软件 质谱 进行 Intellistart 调谐 时 中途 会 失去 通讯 怀疑 软件 ,氮气 发生器 异响 基本 确定 空压机 内部 膜片 磨损 严重 需 进行 更换 维护 质谱 进行 Intellistart 调谐 时 中途 会 失去 通讯 怀疑 软件 质谱 进行 Intellistart 调谐 时 中途 会 失去 通讯 怀疑 软件 氮气 发生器 . 检查 氮气 发生器 工作 异响 声音 较大 拆出 空压机 发现 一个 空压机 高压 气缸 膜 阀片 已经 磨烂 . 一并 两台 空压机 进行 系统维护 更换 密封圈 膜片 螺丝 更换 两个 水杯 滤膜 一个 烃类 滤膜 一个 进气口 滤膜 . 启动 氮气 发生器 声音 恢复正常 重置 servicetime 3750 小时 质谱 . 进 PEG Engineer 界面 调谐 合适 分辨率 质量数 . 做 Intellistart 发现 无法 顺利 中途 会 提示 失去 通讯 重装 软件 windows 操作系统 均 无法 解决 现象 . Diagnostic 界面 一直 存在 Fuse F10 - Syringe - Blown 报错 怀疑 与此有关 后续 会 继续 上门 检查 主板 相关 硬件 排查 原因 目前 报错 影响 正常 实验 . 上机 发现 TIC 图形 后半段 向下倾斜 响应 之前 升高 确定 昨天 调整 IonEnergy1 - 0.1 优化 液相 流速 梯度 获得 较为 饱满 TIC 面包 图 测试 复溶板 质控 定量 一致性 . 验证 保军 说法 进行 Intellistart 确实 发现 确实 发现 出现 进行 MS1ResolutionCheck 时 MSTune 会 提示 失去 通讯 . 重装 软件 更改 MassLynx 版本 855 无效 Diagnostic 界面 依旧 存在 Fuse F10 - Syringe - Blown 报错 （ 报错 去年 出现 ） . 次日 更换 操作系统 微软 原版 安装 驱动 安装 918 版本 Diagnostic 界面 报错 依旧 存在 进行 Intellistart 依旧 原先 时间 点 报错 失去 通讯 waters 甘工 讨论 认为 应该 主板 例 Syringe 保险丝 坏掉 导致 报错 应该 软件 无关 先 安排 正常 上机 准备 带 主板 配件 下周 上门 ,0.585648785777556
